Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Totals,Totals,Position Estimate,Position Estimate,Position Estimate,Position Estimate,Position Estimate,+/- Per 100 Poss.,+/- Per 100 Poss.,Turnovers,Turnovers,Fouls Committed,Fouls Committed,Fouls Drawn,Fouls Drawn,Misc.,Misc.,Misc.
34,Keita Bates-Diop,SF,28,PHO,39,597,,3%,50%,47%,1%,-3.4,-7.8,4,6,22,0,18,0,83,8,15
34,Keita Bates-Diop,SF,28,BRK,14,68,,76%,22%,2%,,-12.0,-9.2,0,1,1,1,3,0,9,0,1
35,Nicolas Batum,PF,35,TOT,60,1529,,,,89%,11%,5.7,4.3,31,5,44,2,8,2,290,1,2
35,Nicolas Batum,PF,35,LAC,3,54,,,,68%,32%,-1.9,-5.6,1,0,0,0,0,0,13,0,0
35,Nicolas Batum,PF,35,PHI,57,1475,,,,90%,10%,5.9,4.7,30,5,44,2,8,2,277,1,2
36,Darius Bazley,PF,23,TOT,9,152,,,23%,64%,13%,-8.4,-4.2,3,4,2,0,6,0,19,2,4
36,Darius Bazley,PF,23,PHI,3,10,,,,66%,34%,-5.9,-8.9,1,0,0,0,0,0,5,0,1
36,Darius Bazley,PF,23,UTA,6,142,,,25%,64%,11%,-8.6,-3.8,2,4,2,0,6,0,14,2,3
37,Bradley Beal,SG,30,PHO,53,1767,2%,35%,60%,4%,,3.2,0.0,67,33,70,14,65,13,643,13,37
38,Malik Beasley,SG,27,MIL,79,2337,9%,87%,5%,,,6.5,9.2,26,18,75,1,11,7,264,3,27
39,MarJon Beauchamp,SF,23,MIL,48,608,,21%,69%,10%,,-0.9,-4.3,11,10,28,1,14,1,72,1,17
40,Jules Bernard,SG,24,WAS,19,149,2%,63%,36%,,,4.7,14.5,3,3,8,1,6,2,39,3,2
Rk,Player,Pos,Age,Tm,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd
41,Dāvis Bertāns,PF,31,TOT,43,674,,,12%,54%,35%,-7.6,0.7,9,3,24,5,11,5,83,2,8
41,Dāvis Bertāns,PF,31,OKC,15,91,,,11%,68%,21%,5.5,-2.5,0,0,6,1,5,1,22,0,1
41,Dāvis Bertāns,PF,31,CHO,28,583,,,12%,52%,37%,-9.6,1.2,9,3,18,4,6,4,61,2,7
42,Patrick Beverley,PG,35,TOT,73,1462,100%,,,,,-0.6,-4.3,45,10,55,1,32,16,509,9,14
42,Patrick Beverley,PG,35,PHI,47,919,100%,,,,,0.3,-3.5,32,8,41,1,23,10,340,7,8
42,Patrick Beverley,PG,35,MIL,26,543,100%,,,,,-2.1,-5.6,13,2,14,0,9,6,169,2,6
43,Saddiq Bey,SF,24,ATL,63,2062,,1%,70%,29%,,-1.0,2.6,20,10,39,2,108,3,222,27,49
44,Goga Bitadze,C,24,ORL,62,957,,,,,100%,0.3,-1.9,20,6,49,12,35,1,188,10,16
45,Onuralp Bitim,SG,24,CHI,23,268,,19%,66%,15%,,-6.9,-5.9,6,1,17,1,1,2,31,1,5
46,Bismack Biyombo,C,31,TOT,40,791,,,,59%,42%,-3.6,2.9,14,9,45,13,16,4,129,4,13
46,Bismack Biyombo,C,31,MEM,30,718,,,,60%,40%,-4.2,3.8,12,8,41,12,13,4,124,4,11
46,Bismack Biyombo,C,31,OKC,10,73,,,,45%,55%,1.4,-6.6,2,1,4,1,3,0,5,0,2
47,Anthony Black,PG,20,ORL,69,1164,68%,30%,2%,,,-1.3,-4.4,40,7,65,1,33,19,219,8,16
48,Leaky Black,SF,24,CHO,26,284,,,46%,54%,,-6.6,4.3,3,1,9,2,5,2,61,1,5
49,Buddy Boeheim,SF,24,DET,10,84,,7%,71%,22%,,15.1,24.5,0,0,3,0,3,0,7,0,1
50,Bogdan Bogdanović,SG,31,ATL,79,2401,,51%,47%,2%,,1.9,10.3,65,30,94,9,68,7,585,13,51
51,Bojan Bogdanović,SF-PF,34,TOT,57,1478,,1%,35%,63%,1%,-11.6,-9.5,58,29,52,6,63,5,237,13,45
51,Bojan Bogdanović,PF,34,DET,28,921,,,40%,59%,1%,-13.5,-6.1,43,16,28,1,44,4,170,10,29
51,Bojan Bogdanović,SF,34,NYK,29,557,,1%,28%,70%,,-8.4,-15.3,15,13,24,5,19,1,67,3,16
52,Bol Bol,PF,24,PHO,43,469,,,1%,79%,20%,2.7,-0.7,7,8,29,0,9,0,41,5,3
53,Marques Bolden,C,25,TOT,11,121,,,,,100%,-6.6,3.7,0,0,7,2,1,0,11,0,0
53,Marques Bolden,C,25,MIL,2,3,,,,,100%,145.2,142.6,0,0,1,0,0,0,0,0,0
53,Marques Bolden,C,25,CHO,9,118,,,,,100%,-10.4,0.2,0,0,6,2,1,0,11,0,0
54,Devin Booker,PG,27,PHO,68,2447,91%,10%,,,,5.7,6.4,102,50,88,17,174,14,1168,39,48
55,Brandon Boston Jr.,SF,22,LAC,32,345,2%,46%,43%,7%,2%,-15.2,-20.6,4,11,26,4,14,3,29,1,13
56,Chris Boucher,PF,31,TOR,50,705,,,12%,55%,34%,2.8,11.2,6,11,46,4,50,12,53,12,14
57,James Bouknight,SG,23,CHO,14,81,,72%,28%,,,-10.5,0.1,2,0,3,0,1,0,14,0,2
58,Jamaree Bouyea,PG,24,TOT,9,95,95%,5%,,,,-8.0,0.1,4,3,7,1,0,1,29,0,2
58,Jamaree Bouyea,PG,24,POR,6,57,100%,,,,,-20.6,-11.4,4,2,1,1,0,1,21,0,2
58,Jamaree Bouyea,PG,24,SAS,3,38,87%,13%,,,,10.8,17.3,0,1,6,0,0,0,8,0,0
59,Malaki Branham,PG,20,SAS,75,1594,62%,36%,2%,,,-10.7,-7.3,62,24,49,2,30,15,377,9,41
60,Christian Braun,SG,22,DEN,82,1655,1%,41%,57%,1%,,1.2,-7.5,20,15,70,13,67,4,315,14,46
Rk,Player,Pos,Age,Tm,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd
61,Mikal Bridges,SF,27,BRK,82,2854,1%,29%,50%,20%,1%,-3.6,-2.3,82,60,55,6,127,23,748,30,54
62,Miles Bridges,SF,25,CHO,69,2581,,24%,61%,15%,,-12.0,-3.9,69,49,67,9,111,9,574,40,64
63,Oshae Brissett,SF,25,BOS,55,630,,15%,56%,29%,1%,10.4,-1.0,8,7,29,2,40,0,116,6,9
64,Izaiah Brockington,PG,24,NOP,1,3,100%,,,,,21.4,16.8,0,0,0,0,0,0,0,0,1
65,Malcolm Brogdon,PG,31,POR,39,1121,61%,39%,,,,-3.6,8.0,34,17,32,4,50,8,517,12,29
66,Armoni Brooks,PG,25,BRK,10,104,72%,28%,,,,11.0,14.4,3,0,1,0,1,0,10,1,4
67,Dillon Brooks,SF,28,HOU,72,2227,1%,17%,73%,9%,,-0.1,-2.9,41,29,124,10,69,23,285,11,31
68,Bruce Brown,PG-SG,27,TOT,67,1866,17%,78%,5%,,,-5.6,-5.3,36,32,77,7,68,1,456,20,41
68,Bruce Brown,SG,27,IND,33,981,2%,91%,7%,,,3.5,0.7,14,18,42,3,38,1,242,11,20
68,Bruce Brown,PG,27,TOR,34,885,34%,63%,4%,,,-15.8,-12.1,22,14,35,4,30,0,214,9,21
69,Charlie Brown Jr.,SG,26,NYK,8,37,,41%,55%,5%,,-13.0,-18.0,1,0,3,0,0,1,0,0,1
70,Greg Brown III,PF,22,DAL,6,40,,,59%,35%,7%,-7.5,-9.7,2,1,3,1,4,0,8,1,1
71,Jaylen Brown,SF,27,BOS,70,2343,1%,30%,68%,2%,,8.2,-7.7,64,61,74,27,156,10,619,46,72
72,Kendall Brown,SG,20,IND,15,63,9%,58%,30%,3%,,-19.2,-22.5,1,0,5,1,4,1,11,0,0
73,Kobe Brown,PF,24,LAC,44,394,,,1%,89%,10%,-9.2,-14.3,3,3,29,2,1,1,61,0,6
74,Moses Brown,C,24,POR,22,200,,,,,100%,-17.1,-8.1,3,4,20,2,16,0,14,3,12
75,Troy Brown Jr.,SF,24,TOT,59,827,,18%,63%,19%,,-7.2,-6.6,19,6,27,3,12,2,146,1,15
75,Troy Brown Jr.,SF,24,MIN,37,410,,36%,55%,8%,1%,0.5,-6.7,12,2,17,2,5,2,84,0,2
75,Troy Brown Jr.,SF,24,DET,22,417,,,70%,30%,,-14.7,-6.6,7,4,10,1,7,0,62,1,13
76,Jalen Brunson,PG,27,NYK,77,2726,100%,,,,,8.3,11.8,96,67,74,13,222,75,1269,86,64
77,Thomas Bryant,C,26,MIA,38,441,,,,2%,98%,2.0,0.0,2,2,26,10,24,0,59,5,10
78,Kobe Bufkin,SG,20,ATL,17,196,62%,38%,,,,-8.7,-6.8,7,0,11,0,4,0,58,2,7
79,Reggie Bullock,SF,32,HOU,44,417,7%,35%,47%,11%,,-5.9,-7.9,9,0,12,1,1,0,33,1,2
80,Alec Burks,SG,32,TOT,66,1212,,60%,38%,2%,,-10.2,-5.4,27,15,37,3,67,15,213,9,21
80,Alec Burks,SG,32,DET,43,901,,53%,44%,3%,,-9.9,-1.4,18,9,32,3,50,12,164,6,11
80,Alec Burks,SG,32,NYK,23,311,,80%,20%,,,-10.8,-16.8,9,6,5,0,17,3,49,3,10
Rk,Player,Pos,Age,Tm,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd
81,Jared Butler,SG,23,WAS,40,566,95%,5%,,,,-5.3,4.6,35,11,36,2,16,9,295,5,13
82,Jimmy Butler,PF,34,MIA,60,2042,,,25%,74%,,5.5,7.2,56,31,30,10,205,5,768,46,63
83,Jamal Cain,PF,24,MIA,26,259,,,35%,65%,,-4.3,-6.8,2,2,10,0,12,1,24,1,3
84,Kentavious Caldwell-Pope,SG,30,DEN,76,2402,6%,87%,7%,,,11.7,15.8,53,14,87,4,34,19,420,7,14
85,Toumani Camara,PF,23,POR,70,1739,,,,84%,16%,-4.8,8.2,38,19,92,13,44,34,213,10,27
86,Clint Capela,C,29,ATL,73,1883,,,,,100%,-0.6,3.1,24,23,86,16,108,17,227,22,69
87,Jevon Carter,PG,28,CHI,72,1004,100%,,,,,1.6,4.0,19,6,27,4,2,4,222,1,6
88,Wendell Carter Jr.,C,24,ORL,55,1406,,,,5%,95%,1.9,0.1,18,17,67,22,56,10,225,12,23
89,D.J. Carton,SG,23,TOR,4,36,61%,32%,8%,,,-38.0,-31.8,1,0,0,0,2,0,8,1,0
90,Alex Caruso,SG,29,CHI,71,2040,17%,78%,5%,,,0.3,3.4,72,24,82,2,37,42,558,5,25
91,Colin Castleton,C,23,LAL,16,59,,,,,100%,-42.4,-43.4,2,0,6,1,1,0,6,0,2
92,Malcolm Cazalon,SG,22,DET,1,3,,,,100%,,63.3,72.2,0,0,0,0,0,0,0,0,0
93,Julian Champagnie,SF,22,SAS,74,1468,,4%,68%,28%,,-4.0,3.7,31,10,46,3,42,5,242,6,20
94,Justin Champagnie,SF,22,WAS,15,235,,42%,49%,10%,,-13.1,-4.1,8,2,10,0,5,0,41,1,6
95,Max Christie,SG,20,LAL,67,944,10%,74%,17%,,,-0.5,-1.2,26,5,33,4,19,1,152,2,21
96,Sidy Cissoko,SF,19,SAS,12,141,,,63%,37%,,9.1,16.0,0,2,7,0,8,0,26,1,2
97,Brandon Clarke,PF,27,MEM,6,134,,13%,46%,36%,5%,-5.6,1.7,1,1,6,1,3,1,20,2,5
98,Jordan Clarkson,SG,31,UTA,55,1682,,69%,25%,6%,,-5.7,-1.5,70,54,39,11,81,3,672,16,51
99,Nic Claxton,C,24,BRK,71,2116,,,,,100%,-5.7,-5.7,23,25,75,31,89,13,349,24,41
100,Noah Clowney,PF,19,BRK,23,370,,,31%,44%,25%,-6.0,-3.4,5,7,15,2,13,1,46,4,8
Rk,Player,Pos,Age,Tm,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd
101,Amir Coffey,SF,26,LAC,70,1460,,6%,69%,25%,1%,-2.8,-10.3,16,9,58,5,34,7,190,12,20
102,John Collins,PF,26,UTA,68,1901,,,17%,70%,13%,-7.3,-4.7,36,32,122,15,87,14,185,23,73
103,Zach Collins,C,26,SAS,69,1526,,,,27%,73%,-12.3,-9.6,63,28,132,28,69,8,442,20,39
104,Mike Conley,PG,36,MIN,76,2193,100%,,,,,5.4,-2.6,81,13,57,2,37,27,1049,9,15
105,Pat Connaughton,SF,31,MIL,76,1676,2%,41%,56%,2%,,-1.2,-6.9,30,13,62,4,20,9,395,6,10
106,Bilal Coulibaly,SF,19,WAS,63,1715,1%,48%,50%,1%,,-11.7,-4.4,52,20,67,5,68,3,268,19,43
107,Ricky Council IV,SG,22,PHI,32,289,,27%,59%,14%,,2.8,-0.2,2,0,9,1,35,0,38,9,6
108,Robert Covington,SF-PF,33,TOT,29,488,,7%,75%,19%,,11.7,9.3,2,4,22,3,12,2,57,2,7
108,Robert Covington,PF,33,LAC,3,69,,,96%,4%,,32.8,29.7,0,0,3,0,1,1,19,0,0
108,Robert Covington,SF,33,PHI,26,419,,8%,71%,21%,,8.3,5.9,2,4,19,3,11,1,38,2,7
109,Torrey Craig,SF,33,CHI,53,1049,,,17%,81%,2%,-7.2,-7.9,17,9,60,3,16,5,131,6,8
110,Jae Crowder,PF,33,MIL,50,1156,,,67%,32%,1%,-2.5,-7.5,13,5,39,3,11,7,164,1,8
111,Jalen Crutcher,PG,24,NOP,1,3,100%,,,,,50.0,45.4,0,0,0,0,0,0,0,0,0
112,Cade Cunningham,PG,22,DET,62,2074,65%,32%,3%,,,-8.1,1.6,126,59,81,13,109,6,1076,21,92
113,Seth Curry,SG,33,TOT,44,616,30%,57%,13%,,,3.3,5.0,10,4,16,3,12,7,107,6,9
113,Seth Curry,SG,33,DAL,36,457,40%,52%,9%,,,7.3,5.8,8,2,13,2,8,4,72,5,5
113,Seth Curry,SG,33,CHO,8,159,3%,72%,25%,,,-8.0,2.7,2,2,3,1,4,3,35,1,4
114,Stephen Curry,PG,35,GSW,74,2421,75%,25%,,,,2.5,-0.6,115,61,62,15,123,15,872,36,51
115,Dyson Daniels,PG,20,NOP,61,1358,41%,51%,8%,,,4.3,-0.5,31,16,51,4,23,5,384,3,14
116,Anthony Davis,C,30,LAL,76,2700,,,,3%,97%,2.3,6.0,53,60,117,22,221,4,625,60,80
117,Johnny Davis,SG,21,WAS,50,613,12%,69%,19%,,,-10.8,-1.8,3,8,29,2,7,5,77,1,13
118,JD Davison,SG,21,BOS,8,39,34%,58%,8%,,,30.6,19.6,2,0,4,0,2,0,23,0,0
119,Dexter Dennis,SG,24,DAL,4,30,,48%,52%,,,-11.2,-13.5,3,0,1,0,3,0,9,3,0
120,DeMar DeRozan,SF,34,CHI,79,2989,,2%,52%,45%,,-1.2,0.8,79,36,87,10,277,15,1044,71,75
Rk,Player,Pos,Age,Tm,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd
121,Moussa Diabaté,C,22,LAC,11,64,,,,,100%,3.4,-0.2,1,0,2,0,5,1,11,0,3
122,Mamadi Diakite,PF,27,TOT,6,24,,,,100%,,6.8,9.5,0,0,1,0,3,0,5,0,0
122,Mamadi Diakite,PF,27,SAS,3,16,,,,100%,,16.1,22.6,0,0,1,0,3,0,5,0,0
122,Mamadi Diakite,PF,27,NYK,3,8,,,,100%,,-11.8,-16.6,0,0,0,0,0,0,0,0,0
123,Hamidou Diallo,SG,25,WAS,2,5,,100%,,,,34.4,43.8,1,0,1,0,0,0,2,0,0
124,Gradey Dick,SG,20,TOR,60,1268,1%,25%,46%,28%,,-14.4,-11.7,26,16,50,3,19,8,169,4,26
125,Ousmane Dieng,PF,20,OKC,33,365,,,14%,68%,18%,1.2,-7.4,9,9,13,1,8,1,93,2,3
126,Spencer Dinwiddie,PG,30,TOT,76,2152,74%,25%,1%,,,1.1,4.0,57,15,61,12,100,11,882,23,18
126,Spencer Dinwiddie,PG,30,BRK,48,1474,89%,11%,,,,-1.6,2.2,40,8,43,9,77,5,723,18,16
126,Spencer Dinwiddie,PG,30,LAL,28,678,42%,54%,4%,,,6.9,7.8,17,7,18,3,23,6,159,5,2
127,Donte DiVincenzo,SG,27,NYK,81,2360,1%,77%,21%,,,3.1,-4.1,61,25,76,12,40,18,504,8,32
128,Luka Dončić,PG,24,DAL,70,2624,74%,26%,,,,5.3,9.4,200,61,77,7,283,12,1636,78,50
129,Luguentz Dort,SF,24,OKC,79,2246,,7%,70%,23%,,8.7,1.7,29,22,105,15,73,56,275,14,31
130,Ayo Dosunmu,SG,24,CHI,76,2212,9%,56%,35%,1%,,-3.1,-3.9,50,32,80,7,51,6,573,10,59
131,Jeff Dowtin,PG,26,PHI,12,142,52%,42%,5%,,,5.9,3.0,2,2,0,1,3,2,65,2,2
132,Henri Drell,SF,23,CHI,4,30,,,,93%,7%,13.2,14.8,2,0,3,0,0,0,9,0,1
133,Andre Drummond,C,30,CHI,79,1351,,,,,100%,0.9,3.4,23,16,54,25,102,4,87,16,42
134,Chris Duarte,SF,26,SAC,59,719,,34%,63%,3%,,-3.1,-5.3,10,8,38,2,13,14,101,2,11
135,David Duke Jr.,SG,24,SAS,4,51,,13%,82%,5%,,5.7,12.2,2,0,1,0,1,2,12,1,0
136,Kris Dunn,PG,29,UTA,66,1249,60%,28%,12%,,,0.2,7.5,49,17,69,6,14,4,623,2,19
137,Kevin Durant,PF,35,PHO,75,2791,,,6%,85%,9%,5.2,6.7,118,94,68,14,180,11,895,46,49
138,Jalen Duren,C,20,DET,61,1777,,,,,100%,-8.3,1.1,48,37,102,37,95,1,334,29,47
139,Tari Eason,PF,22,HOU,22,480,,1%,40%,59%,,10.7,10.9,9,3,31,2,16,2,65,5,17
140,Anthony Edwards,SG,22,MIN,79,2770,3%,73%,24%,,,7.4,2.8,112,91,61,15,240,1,1024,69,56
Rk,Player,Pos,Age,Tm,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd
141,Kessler Edwards,SF,23,SAC,54,275,,3%,54%,40%,3%,-4.4,-6.1,3,0,17,0,5,4,38,1,6
142,Keon Ellis,SG,24,SAC,57,978,13%,63%,24%,,,5.5,5.5,22,8,63,2,12,8,212,2,6
143,Joel Embiid,C,29,PHI,39,1309,,,,,100%,9.6,10.0,58,57,66,27,198,2,549,35,52
144,Drew Eubanks,C,26,PHO,75,1169,,,,,100%,-4.8,-11.3,22,12,58,21,40,5,156,8,23
145,Tosan Evbuomwan,SF,22,TOT,17,367,,3%,26%,71%,,-16.1,-8.0,5,2,17,1,13,2,41,1,5
145,Tosan Evbuomwan,SF,22,MEM,4,74,,13%,75%,11%,,-17.8,-10.7,1,0,4,0,0,1,16,0,1
145,Tosan Evbuomwan,SF,22,DET,13,293,,,14%,86%,,-15.6,-7.3,4,2,13,1,13,1,25,1,4
146,Dante Exum,PG,28,DAL,55,1088,100%,,,,,10.8,12.0,22,20,37,3,31,20,380,5,18
147,Bruno Fernando,C,25,ATL,45,682,,,,,100%,-5.6,-4.0,15,8,61,19,49,2,114,11,23
148,Dorian Finney-Smith,PF,30,BRK,68,1934,,2%,39%,45%,14%,-1.5,2.8,29,12,71,9,18,1,263,2,18
149,Adam Flagler,SG,24,OKC,2,14,100%,,,,,7.6,-0.4,0,0,0,0,0,0,11,0,0
150,Malachi Flynn,PG,25,TOT,69,876,94%,7%,,,,-9.9,-3.5,35,16,25,7,27,3,313,5,19
150,Malachi Flynn,PG,25,TOR,31,474,88%,12%,,,,-7.2,-0.8,16,10,16,4,8,3,179,2,6
150,Malachi Flynn,PG,25,NYK,14,60,100%,,,,,-3.4,-8.3,1,1,1,0,5,0,13,1,3
150,Malachi Flynn,PG,25,DET,24,342,100%,,,,,-14.8,-6.5,18,5,8,3,14,0,121,2,10
151,Simone Fontecchio,SF,28,TOT,66,1644,,,73%,27%,,-0.8,6.9,33,19,50,8,33,6,233,9,35
151,Simone Fontecchio,SF,28,UTA,50,1160,,,90%,10%,,-0.1,6.8,23,14,38,7,19,3,172,4,21
151,Simone Fontecchio,SF,28,DET,16,484,,,33%,67%,,-2.6,7.2,10,5,12,1,14,3,61,5,14
152,Jordan Ford,PG,25,SAC,6,22,100%,,,,,28.1,26.9,1,0,0,0,0,0,6,0,0
153,Trent Forrest,SG,25,ATL,38,414,40%,54%,6%,,,-10.7,-9.4,11,6,17,1,6,2,223,1,5
154,Evan Fournier,SG,31,TOT,32,580,,44%,56%,,,-12.3,-4.9,11,8,29,0,13,2,109,2,6
154,Evan Fournier,SG,31,NYK,3,39,,12%,88%,,,-17.1,-22.1,0,0,3,0,1,0,6,0,0
154,Evan Fournier,SG,31,DET,29,541,,46%,54%,,,-12.0,-3.6,11,8,26,0,12,2,103,2,6
155,De'Aaron Fox,PG,26,SAC,74,2659,100%,,,,,3.1,5.5,106,71,88,10,186,21,1031,44,68
156,Javon Freeman-Liberty,PG,24,TOR,22,403,88%,12%,,,,-18.3,-13.2,13,6,12,4,15,2,96,1,15
