Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,Unnamed: 16_level_0,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,Unnamed: 23_level_0,% of FG Ast'd,% of FG Ast'd,Unnamed: 26_level_0,Dunks,Dunks,Unnamed: 29_level_0,Corner 3s,Corner 3s,Unnamed: 32_level_0,Heaves,Heaves
23,Dalibor Bagarić,C,21,CHI,50,638,.404,7.0,,.994,.416,.230,.219,.129,.006,,.407,.608,.195,.359,.217,.000,,.611,,,.124,21,,.000,,,0,0
24,Vin Baker,C,30,SEA,55,1710,.485,6.8,,.988,.453,.256,.092,.186,.012,,.490,.626,.367,.400,.372,.125,,.650,1.000,,.054,34,,.250,.500,,3,0
25,Erick Barkley,PG,23,POR,19,228,.353,12.6,,.897,.324,.088,.059,.426,.103,,.377,.545,.500,.750,.172,.143,,.609,1.000,,.000,0,,.143,1.000,,0,0
26,Dana Barros,PG,34,DET,29,582,.385,17.1,,.630,.161,.068,.073,.328,.370,,.413,.516,.385,.357,.381,.338,,.340,.958,,.000,0,,.127,.444,,0,0
27,Brent Barry,SG,30,SEA,81,3040,.508,16.2,,.510,.225,.105,.049,.130,.490,,.588,.663,.494,.538,.553,.424,,.565,.939,,.033,26,,.165,.516,,0,0
28,Jon Barry,SG,32,DET,82,1985,.489,17.7,,.506,.188,.034,.079,.207,.494,,.508,.633,.333,.439,.444,.469,,.552,.777,,.002,1,,.295,.474,,0,0
29,Mengke Bateer,C,26,DEN,27,408,.402,9.9,,.909,.379,.144,.136,.250,.091,,.408,.460,.316,.556,.303,.333,,.694,1.000,,.000,0,,.000,,,0,0
30,Tony Battie,C,25,BOS,74,1819,.541,7.7,,.995,.467,.146,.200,.182,.005,,.544,.736,.281,.385,.437,.000,,.730,,,.200,76,,.000,,,1,0
31,Shane Battier,SF,23,MEM,78,3097,.429,13.5,,.713,.246,.125,.160,.182,.287,,.451,.568,.375,.403,.389,.373,,.618,.922,,.035,32,,.377,.394,,2,0
32,Charlie Bell,SG,22,TOT,7,44,.273,21.4,,.455,.000,.000,.091,.364,.545,,.600,,,1.000,.500,.000,,.333,,,.000,0,,.167,.000,,0,0
32,Charlie Bell,SG,22,PHO,5,42,.273,21.4,,.455,.000,.000,.091,.364,.545,,.600,,,1.000,.500,.000,,.333,,,.000,0,,.167,.000,,0,0
32,Charlie Bell,SG,22,DAL,2,2,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,0
33,Raja Bell,SG,25,PHI,74,890,.429,12.6,,.817,.258,.117,.175,.267,.183,,.464,.581,.464,.476,.344,.273,,.659,1.000,,.017,4,,.432,.316,,0,0
34,Jonathan Bender,SF,21,IND,78,1647,.430,12.9,,.728,.233,.220,.089,.187,.272,,.457,.607,.416,.317,.384,.360,,.634,.978,,.111,47,,.256,.406,,0,0
35,Travis Best,PG,29,TOT,74,1747,.440,13.4,,.886,.264,.068,.139,.415,.114,,.451,.606,.429,.403,.372,.356,,.275,.810,,.000,0,,.068,.750,,0,0
35,Travis Best,PG,29,IND,44,954,.439,14.1,,.871,.205,.095,.155,.417,.129,,.448,.648,.480,.341,.382,.382,,.301,.769,,.000,0,,.059,1.000,,0,0
35,Travis Best,PG,29,CHI,30,793,.441,12.6,,.902,.327,.039,.122,.413,.098,,.454,.578,.300,.484,.362,.320,,.250,.875,,.000,0,,.080,.500,,0,0
36,Mike Bibby,PG,23,SAC,80,2659,.453,14.7,,.860,.191,.072,.125,.472,.140,,.466,.638,.352,.455,.417,.370,,.557,.882,,.004,4,,.261,.333,,0,0
37,Chauncey Billups*,PG,25,MIN,82,2355,.423,16.6,,.617,.194,.062,.079,.282,.383,,.441,.550,.353,.354,.409,.394,,.397,.621,,.004,3,,.152,.354,,3,0
38,Mookie Blaylock,PG,34,GSW,35,599,.342,16.9,,.712,.144,.055,.144,.370,.288,,.337,.571,.125,.333,.278,.357,,.343,.867,,.000,0,,.310,.308,,1,0
39,Corie Blount,PF,33,PHI,72,1426,.458,7.5,,.996,.414,.155,.275,.151,.004,,.460,.587,.308,.377,.421,.000,,.678,,,.060,11,,.000,,,0,0
40,Mark Blount,C,26,BOS,44,415,.421,6.7,,1.000,.474,.237,.145,.145,.000,,.421,.583,.111,.455,.364,,,.875,,,.132,10,,,,,0,0
Rk,Player,Pos,Age,Tm,G,MP,FG%,Dist.,,2P,0-3,3-10,10-16,16-3P,3P,,2P,0-3,3-10,10-16,16-3P,3P,,2P,3P,,%FGA,#,,%3PA,3P%,,Att.,#
41,Calvin Booth,C,25,SEA,15,279,.427,11.5,,1.000,.195,.171,.256,.378,.000,,.427,.500,.357,.286,.516,,,.771,,,.024,1,,,,,0,0
42,Ruben Boumtje-Boumtje,C,23,POR,33,245,.406,2.4,,1.000,.688,.250,.063,.000,.000,,.406,.545,.125,.000,,,,.769,,,.219,7,,,,,0,0
43,Cal Bowdler,PF,24,ATL,52,585,.351,12.8,,.971,.207,.103,.178,.483,.029,,.355,.444,.333,.290,.345,.200,,.817,1.000,,.017,2,,.000,,,0,0
44,Bruce Bowen,SF,30,SAS,59,1699,.389,14.5,,.628,.224,.143,.093,.168,.372,,.396,.562,.316,.270,.313,.378,,.687,.982,,.010,2,,.642,.421,,0,0
45,Ryan Bowen,SF,26,DEN,75,1686,.479,6.0,,.961,.648,.065,.055,.192,.039,,.495,.603,.250,.294,.271,.083,,.705,1.000,,.020,6,,.333,.000,,3,0
46,Ira Bowman,SG,28,PHI,3,29,.714,7.6,,.857,.571,.000,.286,.000,.143,,.833,1.000,,.500,,.000,,.200,,,.000,0,,.000,,,0,0
47,Earl Boykins,PG,25,LAC,68,761,.400,13.5,,.847,.164,.153,.255,.276,.153,,.416,.444,.381,.486,.355,.310,,.320,.923,,.000,0,,.119,.000,,0,0
48,Michael Bradley,PF,22,TOR,26,118,.520,8.4,,.920,.560,.080,.160,.120,.080,,.565,.643,.000,.500,.667,.000,,.769,,,.080,2,,.000,,,1,0
49,Shawn Bradley,C,29,DAL,53,757,.479,6.5,,.994,.491,.190,.160,.153,.006,,.481,.600,.452,.308,.320,.000,,.615,,,.117,16,,1.000,.000,,0,0
50,Elton Brand,PF,22,LAC,80,3020,.527,6.1,,1.000,.391,.333,.231,.046,.000,,.527,.716,.417,.403,.326,,,.509,,,.070,66,,,,,0,0
51,Terrell Brandon,PG,31,MIN,32,962,.425,13.5,,.937,.208,.079,.178,.471,.063,,.442,.553,.414,.446,.395,.174,,.457,.750,,.003,1,,.087,.500,,0,0
52,Jamison Brewer,SG,21,IND,13,43,.400,16.9,,.800,.400,.400,.000,.000,.200,,.500,.500,.500,,,.000,,1.000,,,.000,0,,.000,,,1,0
53,Primož Brezec,C,22,IND,22,160,.483,5.6,,1.000,.586,.172,.069,.172,.000,,.483,.529,.400,.500,.400,,,.571,,,.000,0,,,,,0,0
54,Chucky Brown,SF,33,SAC,18,92,.370,12.1,,1.000,.185,.259,.074,.481,.000,,.370,.000,.571,1.000,.308,,,.400,,,.000,0,,,,,0,0
55,Damone Brown,SF,22,PHI,17,67,.381,10.8,,.952,.238,.238,.095,.381,.048,,.400,.400,.600,.000,.375,.000,,.500,,,.000,0,,.000,,,0,0
56,Dee Brown,PG,33,ORL,7,65,.150,21.7,,.400,.000,.000,.200,.200,.600,,.250,,,.500,.000,.083,,1.000,1.000,,.000,0,,.500,.167,,0,0
57,Ernest Brown,C,22,MIA,3,21,.167,9.4,,1.000,.000,.500,.333,.167,.000,,.167,,.333,.000,.000,,,1.000,,,.000,0,,,,,0,0
58,Kedrick Brown,SF,20,BOS,29,245,.329,13.6,,.614,.300,.086,.129,.100,.386,,.419,.619,.167,.111,.429,.185,,.556,1.000,,.086,6,,.593,.125,,0,0
59,Kwame Brown,PF,19,WAS,57,817,.387,8.3,,.996,.280,.284,.305,.128,.004,,.388,.632,.261,.257,.452,.000,,.500,,,.115,26,,.000,,,0,0
60,P.J. Brown,C,32,CHH,80,2563,.474,8.1,,1.000,.421,.101,.269,.209,.000,,.474,.568,.283,.472,.382,,,.736,,,.072,37,,,,,0,0
Rk,Player,Pos,Age,Tm,G,MP,FG%,Dist.,,2P,0-3,3-10,10-16,16-3P,3P,,2P,0-3,3-10,10-16,16-3P,3P,,2P,3P,,%FGA,#,,%3PA,3P%,,Att.,#
61,Randy Brown,PG,33,BOS,1,6,.000,2.0,,1.000,1.000,.000,.000,.000,.000,,.000,.000,,,,,,,,,.000,0,,,,,0,0
62,Tierre Brown,SG,22,HOU,40,403,.426,11.0,,.896,.348,.087,.165,.296,.104,,.437,.525,.400,.474,.324,.333,,.156,.750,,.000,0,,.083,.000,,0,0
63,Rick Brunson,PG,29,POR,59,520,.398,12.0,,.903,.345,.062,.080,.407,.097,,.382,.538,.143,.333,.304,.545,,.282,1.000,,.000,0,,.455,1.000,,1,0
64,Kobe Bryant*,SG,23,LAL,80,3063,.469,12.0,,.917,.249,.142,.212,.315,.083,,.489,.658,.460,.450,.394,.250,,.363,.576,,.061,88,,.061,.125,,3,1
65,Mark Bryant,PF,36,SAS,30,206,.455,8.0,,1.000,.345,.218,.309,.127,.000,,.455,.579,.500,.412,.143,,,.760,,,.055,3,,,,,0,0
66,Greg Buckner,SG,25,DAL,44,885,.525,7.3,,.919,.530,.121,.121,.146,.081,,.544,.695,.375,.292,.345,.313,,.687,.800,,.000,0,,.375,.333,,1,0
67,Jud Buechler,SF,33,TOT,66,684,.373,18.5,,.492,.153,.008,.034,.297,.508,,.397,.556,1.000,.250,.314,.350,,.739,.952,,.000,0,,.550,.394,,1,0
67,Jud Buechler,SF,33,PHO,6,54,.333,23.9,,.000,.000,.000,.000,.000,1.000,,,,,,,.333,,,1.000,,.000,0,,.667,.250,,0,0
67,Jud Buechler,SF,33,ORL,60,630,.375,18.2,,.518,.161,.009,.036,.313,.482,,.397,.556,1.000,.250,.314,.352,,.739,.947,,.000,0,,.537,.414,,1,0
68,Rodney Buford,SG,24,MEM,63,1769,.435,12.6,,.882,.221,.164,.179,.319,.118,,.461,.626,.351,.415,.429,.243,,.747,1.000,,.044,23,,.200,.214,,1,0
69,Matt Bullard,PF,34,CHH,31,350,.339,19.8,,.504,.096,.035,.043,.330,.496,,.397,.455,1.000,.200,.342,.281,,.696,1.000,,.000,0,,.088,.200,,0,0
70,Mitchell Butler,SG,31,POR,11,90,.435,7.2,,.870,.565,.130,.000,.174,.130,,.450,.538,.333,,.250,.333,,.444,1.000,,.043,1,,1.000,.333,,0,0
71,Jason Caffey,PF,28,MIL,23,283,.500,6.4,,.986,.417,.236,.292,.042,.014,,.507,.567,.353,.619,.000,.000,,.556,,,.083,6,,.000,,,0,0
72,Marcus Camby,C,27,NYK,29,1007,.448,4.9,,.997,.572,.159,.203,.062,.003,,.450,.542,.391,.237,.444,.000,,.692,,,.138,39,,.000,,,0,0
73,Elden Campbell,PF,33,CHH,77,2156,.484,7.8,,.997,.314,.282,.270,.132,.003,,.485,.614,.487,.350,.448,.000,,.604,,,.076,54,,.500,.000,,0,0
74,Brian Cardinal,PF,24,DET,8,43,.462,21.1,,.462,.000,.000,.077,.385,.538,,.500,,,.000,.600,.429,,.667,1.000,,.000,0,,.571,.750,,0,0
75,Anthony Carter,PG,26,MIA,46,1050,.342,14.9,,.927,.188,.108,.131,.500,.073,,.365,.592,.214,.265,.338,.053,,.443,1.000,,.000,0,,.105,.000,,4,0
76,Vince Carter*,SG,25,TOR,60,2385,.428,14.1,,.761,.216,.132,.138,.275,.239,,.441,.571,.436,.370,.376,.387,,.425,.851,,.051,59,,.176,.418,,1,0
77,Sam Cassell,PG,32,MIL,74,2605,.463,15.4,,.830,.097,.069,.363,.301,.170,,.486,.578,.410,.495,.464,.348,,.377,.662,,.000,0,,.216,.455,,3,0
78,Kelvin Cato,C,27,HOU,75,1917,.583,2.7,,.997,.752,.132,.071,.043,.003,,.585,.690,.163,.348,.429,.000,,.784,,,.475,129,,.000,,,0,0
79,Tyson Chandler,C,19,CHI,71,1389,.497,3.9,,1.000,.664,.155,.095,.086,.000,,.497,.574,.298,.345,.423,,,.735,,,.247,70,,,,,0,0
80,Calbert Cheaney,SG,30,DEN,68,1631,.481,10.9,,.991,.277,.163,.152,.399,.009,,.485,.705,.421,.366,.403,.000,,.647,,,.054,22,,.250,.000,,0,0
Rk,Player,Pos,Age,Tm,G,MP,FG%,Dist.,,2P,0-3,3-10,10-16,16-3P,3P,,2P,0-3,3-10,10-16,16-3P,3P,,2P,3P,,%FGA,#,,%3PA,3P%,,Att.,#
81,Chris Childs,PG,34,TOR,69,1576,.328,17.7,,.595,.216,.047,.108,.223,.405,,.364,.453,.571,.188,.318,.275,,.484,.909,,.000,0,,.042,.000,,9,0
82,Doug Christie,SG,31,SAC,81,2798,.460,13.7,,.652,.336,.063,.045,.208,.348,,.518,.652,.283,.242,.431,.352,,.589,.956,,.083,60,,.355,.341,,1,0
83,Keon Clark,C,26,TOR,81,2185,.490,7.2,,.994,.439,.179,.245,.130,.006,,.494,.621,.417,.363,.416,.000,,.600,,,.089,63,,.400,.000,,2,0
84,Speedy Claxton,PG,23,PHI,67,1528,.400,10.5,,.927,.374,.097,.146,.310,.073,,.422,.538,.205,.303,.407,.121,,.542,1.000,,.007,3,,.364,.167,,1,0
85,Mateen Cleaves,PG,24,SAC,32,153,.441,11.1,,.882,.353,.118,.074,.338,.118,,.467,.625,.375,.200,.391,.250,,.357,.000,,.000,0,,.125,.000,,0,0
86,Derrick Coleman,PF,34,PHI,58,2080,.450,9.4,,.887,.350,.184,.245,.109,.113,,.465,.661,.370,.306,.350,.337,,.597,.964,,.059,39,,.145,.083,,0,0
87,Bimbo Coles,PG,33,CLE,47,693,.384,14.7,,.863,.158,.137,.233,.336,.137,,.413,.565,.200,.441,.408,.200,,.635,1.000,,.000,0,,.150,.333,,4,0
88,Jason Collier,C,24,HOU,25,365,.432,8.1,,.989,.453,.147,.095,.295,.011,,.436,.512,.357,.111,.464,.000,,.805,,,.000,0,,.000,,,0,0
89,Jarron Collins,C,23,UTA,70,1440,.461,5.8,,.997,.513,.181,.207,.096,.003,,.462,.563,.258,.423,.394,.000,,.646,,,.044,14,,.000,,,0,0
90,Jason Collins,C,23,NJN,77,1407,.421,6.9,,.993,.475,.176,.173,.169,.007,,.420,.530,.327,.333,.298,.500,,.448,1.000,,.029,8,,.000,,,0,0
91,Chris Crawford,PF,26,ATL,7,131,.467,9.6,,.978,.378,.156,.156,.289,.022,,.477,.647,.286,.429,.385,.000,,.619,,,.022,0,,.000,,,0,0
92,Jamal Crawford,PG,21,CHI,23,481,.476,18.0,,.690,.070,.112,.123,.385,.310,,.488,.538,.619,.478,.444,.448,,.333,.846,,.000,0,,.121,.714,,1,0
93,Joe Crispin,PG,22,TOT,21,156,.382,19.0,,.426,.132,.074,.074,.147,.574,,.379,.556,.000,.200,.500,.385,,.545,.467,,.000,0,,.026,.000,,0,0
93,Joe Crispin,PG,22,LAL,6,27,.250,15.9,,.667,.167,.167,.083,.250,.333,,.375,.500,.000,.000,.667,.000,,1.000,,,.000,0,,.000,,,0,0
93,Joe Crispin,PG,22,PHO,15,129,.411,19.7,,.375,.125,.054,.071,.125,.625,,.381,.571,.000,.250,.429,.429,,.375,.467,,.000,0,,.029,.000,,0,0
94,Austin Croshere,PF,26,IND,76,1286,.413,14.9,,.676,.230,.103,.109,.234,.324,,.449,.592,.217,.367,.448,.338,,.596,.980,,.054,21,,.359,.346,,1,0
95,John Crotty,PG,32,UTA,41,802,.471,15.6,,.668,.250,.053,.058,.308,.332,,.482,.442,.273,.250,.594,.449,,.642,.774,,.000,0,,.014,.000,,0,0
96,Vonteego Cummings,PG,25,PHI,58,501,.417,14.0,,.754,.219,.123,.187,.225,.246,,.468,.561,.435,.371,.476,.261,,.545,.917,,.011,2,,.174,.375,,0,0
97,Dell Curry,SG,37,TOR,56,886,.406,19.9,,.622,.043,.020,.107,.452,.378,,.444,.733,.286,.405,.433,.344,,.677,.911,,.000,0,,.260,.353,,0,0
98,Eddy Curry,C,19,CHI,72,1150,.501,3.8,,1.000,.634,.202,.109,.056,.000,,.501,.615,.303,.293,.333,,,.688,,,.212,71,,,,,0,0
99,Michael Curry,SG,33,DET,82,1912,.453,13.3,,.906,.272,.036,.091,.507,.094,,.472,.680,.300,.360,.393,.269,,.839,1.000,,.087,22,,.346,.444,,0,0
100,Samuel Dalembert,C,20,PHI,34,177,.440,2.8,,1.000,.700,.220,.080,.000,.000,,.440,.514,.364,.000,,,,.682,,,.320,13,,,,,0,0
Rk,Player,Pos,Age,Tm,G,MP,FG%,Dist.,,2P,0-3,3-10,10-16,16-3P,3P,,2P,0-3,3-10,10-16,16-3P,3P,,2P,3P,,%FGA,#,,%3PA,3P%,,Att.,#
101,Erick Dampier,C,26,GSW,73,1740,.435,4.8,,1.000,.388,.477,.092,.044,.000,,.435,.656,.288,.295,.381,,,.512,,,.106,43,,,,,0,0
102,Antonio Daniels,SG,26,SAS,82,2175,.440,13.8,,.680,.275,.109,.132,.163,.320,,.510,.702,.433,.358,.360,.291,,.528,.825,,.057,32,,.316,.403,,2,0
103,Antonio Davis,PF,33,TOR,77,2978,.426,8.8,,.999,.330,.154,.353,.162,.001,,.426,.557,.338,.403,.295,.000,,.637,,,.087,78,,.000,,,0,0
104,Baron Davis,PG,22,CHH,82,3318,.417,14.2,,.644,.326,.055,.092,.171,.356,,.451,.554,.338,.244,.402,.356,,.229,.671,,.028,30,,.092,.409,,7,0
105,Dale Davis,C,32,POR,78,2447,.510,5.8,,1.000,.507,.166,.262,.066,.000,,.510,.629,.375,.428,.263,,,.645,,,.167,96,,,,,0,0
106,Emanual Davis,PG,33,ATL,28,774,.354,16.1,,.571,.172,.111,.121,.167,.429,,.363,.559,.227,.333,.273,.341,,.512,.931,,.010,1,,.459,.359,,1,0
107,Hubert Davis,SG,31,WAS,51,1231,.448,18.0,,.613,.061,.141,.107,.304,.387,,.445,.550,.326,.371,.505,.452,,.663,.895,,.000,0,,.119,.467,,0,0
108,Ricky Davis,SF,22,CLE,82,1954,.481,11.5,,.955,.312,.064,.213,.366,.045,,.489,.680,.320,.367,.427,.314,,.638,.636,,.111,79,,.200,.143,,2,0
109,Andrew DeClercq,C,28,ORL,61,633,.450,3.8,,1.000,.611,.228,.107,.054,.000,,.450,.505,.382,.250,.500,,,.657,,,.094,11,,,,,0,0
110,Vinny Del Negro,PG,35,PHO,2,6,.250,15.8,,1.000,.000,.000,.500,.500,.000,,.250,,,.500,.000,,,.000,,,.000,0,,,,,0,0
111,Tony Delk,SG,28,TOT,63,1447,.384,16.1,,.636,.209,.066,.088,.272,.364,,.425,.569,.308,.481,.325,.313,,.541,.597,,.005,2,,.215,.348,,0,0
111,Tony Delk,SG,28,PHO,41,877,.399,15.8,,.647,.219,.065,.099,.264,.353,,.442,.560,.370,.488,.345,.320,,.513,.489,,.007,2,,.218,.313,,0,0
111,Tony Delk,SG,28,BOS,22,570,.349,16.8,,.610,.186,.070,.064,.291,.390,,.381,.594,.167,.455,.280,.299,,.625,.850,,.000,0,,.209,.429,,0,0
112,Derrick Dial,SG,26,TOT,32,299,.342,14.3,,.908,.208,.050,.192,.458,.092,,.367,.440,.333,.261,.382,.091,,.550,1.000,,.017,0,,.182,.000,,0,0
112,Derrick Dial,SG,26,NJN,25,249,.319,13.2,,.926,.245,.053,.213,.415,.074,,.345,.435,.200,.250,.359,.000,,.500,,,.021,0,,.143,.000,,0,0
112,Derrick Dial,SG,26,TOR,7,50,.423,18.2,,.846,.077,.038,.115,.615,.154,,.455,.500,1.000,.333,.438,.250,,.700,1.000,,.000,0,,.250,.000,,0,0
113,Michael Dickerson,SG,26,MEM,4,124,.313,17.9,,.563,.167,.000,.063,.333,.438,,.259,.250,,.000,.313,.381,,.714,1.000,,.042,2,,.238,.400,,0,0
114,DeSagana Diop,C,20,CLE,18,109,.414,6.6,,1.000,.379,.345,.172,.103,.000,,.414,.455,.400,.400,.333,,,.500,,,.000,0,,,,,0,0
115,Vlade Divac*,C,33,SAC,80,2420,.472,6.2,,.982,.455,.289,.085,.152,.018,,.477,.571,.425,.328,.376,.231,,.537,1.000,,.059,40,,.231,.000,,0,0
116,Michael Doleac,C,24,CLE,42,705,.417,11.0,,1.000,.257,.123,.299,.321,.000,,.417,.479,.261,.464,.383,,,.846,,,.016,3,,,,,0,0
117,Keyon Dooling,PG,21,LAC,14,155,.386,14.3,,.754,.158,.193,.193,.211,.246,,.419,.444,.455,.182,.583,.286,,.389,1.000,,.035,1,,.214,.333,,0,0
118,Bryce Drew,PG,27,CHH,61,774,.429,17.0,,.599,.159,.066,.110,.264,.401,,.431,.414,.417,.450,.438,.425,,.532,.839,,.000,0,,.205,.600,,0,0
119,Predrag Drobnjak,C,26,SEA,64,1174,.461,11.5,,.995,.251,.133,.159,.452,.005,,.464,.577,.345,.394,.460,.000,,.822,,,.031,12,,.000,,,0,0
